Game Title,Status,HLTB Main Story (Rounded),Time Played (Rounded),,,,,Backlog,,,
Disgaea PC,Backlog,46.2 hrs,0 hrs,,,,,Manhunt,Backlog,11 hrs,0 hrs
Dishonored,Completed,12.1 hrs,13.8 hrs,,,,,Marie's Room,Backlog,0.7 hrs,0 hrs
Dishonored 2,Backlog,12.5 hrs,7.2 hrs,,,,,Marvel's Midnight Suns,Backlog,40.1 hrs,6.9 hrs
DISSIDIA FINAL FANTASY NT Free Edition,Arcade,32 hrs,0 hrs,,,,,Mass Effect™: Andromeda Deluxe Edition,Backlog,18.5 hrs,0 hrs
Divinity: Original Sin (Classic),Backlog,60 hrs,0 hrs,,,,,McPixel 3,Backlog,5.4 hrs,0 hrs
Divinity: Original Sin 2,Backlog,59.2 hrs,0 hrs,,,,,Medal of Honor(TM) Single Player,Backlog,5 hrs,0 hrs
Divinity: Original Sin Enhanced Edition,Backlog,60.6 hrs,9.5 hrs,,,,,Mediterranea Inferno,Backlog,2.4 hrs,0 hrs
DJMAX RESPECT V,Arcade,16.2 hrs,1.2 hrs,,,,,Metro: Last Light Complete Edition,Backlog,9.8 hrs,0 hrs
DmC Devil May Cry,Completed,9.2 hrs,11 hrs,,,,,Mini Ninjas,Backlog,7.7 hrs,0 hrs
Doki Doki Literature Club,Completed,4.2 hrs,3.4 hrs,,,,,Mitsurugi Kamui Hikae,Backlog,2.2 hrs,0 hrs
Dome Keeper,Backlog,4.8 hrs,0 hrs,,,,,Moonstone Island,Backlog,33.1 hrs,0 hrs
DOOM,Completed,12.7 hrs,13.4 hrs,,,,,Mortal Shell,Backlog,10.6 hrs,0 hrs
DOOM 64,Arcade,7.1 hrs,0 hrs,,,,,Neo Cab,Backlog,4.2 hrs,0 hrs
DOOM Eternal,Completed,14.4 hrs,1.3 hrs,,,,,Neon Abyss,Backlog,11.1 hrs,0 hrs
